Reference,Story,"Bible stories, for the use of children",Dear Old Stories Told Once More,The Children's Bible Picture-Book,Bible stories for little children,The School and Children's Bible,The Children's Bible History,The Children of the Bible,"The Bible for Children
",Kindergarten Bible Stories: The Old Testament Adapted for Little Children,"""Tell Me a True Story"": Tales of Bible Heroes for the Children of To-day",Bible Stories for Primary Classes: Old Testament,Bible stories: King Saul to the Babylonian exile,The Children's Bible: Selections from the Old and New Testaments,Bible Stories Coloring Book,Child's Story Bible,A Child's Bible: Old Testament and New Testament,Bible Stories by Patricia Hunt,My Bible Story Book,The Children's Story Bible,The Toddlers Bible,Snip-and-tell Bible Stories,The Preschoolers Bible,The Children's Bible in 365 Stories,Bible Heroes,Everlasting Stories: A Family Bible Treasury,The Bible for Children,Big Picture Story Bible,My First Read and Learn Bible,The Beginner's Bible,Hurlbut's Story of the Bible,Jesus Storybook Bible,The Children's Bible,Children's stories from the Bible
Genesis 9:1-17,God's covenant with Noah,,In the ark,,,Commands and promises given by God to Noah,God's Covenant with Noah,,The Ark Rests On Ararat,The Thanksgiving Of Noah,,"The end of the flood, thanksgiving",,,Noah and his three sons,"""",The Rainbow,,The rainbow of promise,,,,,A new beginning // Rainbow in the sky,Beginning again,The Promise of the rainbow,"""",,,"""",,"""",,
Genesis 11:1-9,Tower of Babel,The Tower of Babel,,,,The building of the tower of Babel,The Tower of Babel and the Story of Abram,,The Tower Of Babel,,,The tower of Babel,,The Story of the Tower of Babel,The Tower of Babel,The strange division of men into nations,,The Tower of Babel,The Tower of Babel,The Tower of Babel,The Tower of Babel,,The Tower of Babel,The sky's the limit!,,,Tower of Babel,,,The Tall Tower,The Tower That Was Never Finished,A giant staircase to heaven,The Tower of Babel,The Tower of Babel
Genesis 12:1-3,Abraham's call,,,,,"The family of Abram // The calling of Abram, and his going down into Egypt",,,The Call Of Abram,The Obedience Of Abraham,The Story of Abraham,Abraham: trust in God,,,,Abraham follows God,The Promise to Abram,Abraham,God calls Abram,,,,,,,,Abraham and Sarah // God speaks to Abraham,,,A New Home,The Story of a Long Journey,,Abram's Journey,Abraham and Sarah
Genesis 13:5-8,Lot and Abraham,,Abraham and Lot,,,Abram and Lot,,,,Abraham And Lot,,,,,,,,,Abram's choice and Lot's choice,,,,,,,,A family quarrel,,,,How Lot’s Choice Brought Trouble and Abram’s Choice Brought Blessing,,,
Genesis 15,God's covenant with Abraham,,,,,God's promises to Abraham,The Lord's Promise to Abraham,,,,,,,,,God talks with Abraham,Abram Becomes Abraham,,God's promises to Abram,,,,,God's promise,,,God's promise to Abraham,God's Big Promise,,,The Angel by the Well,,,
Genesis 16,Hagar conceives,,,,,,The Story of Hagar and Ishmael,,Hagar And Ishmael,,,,,,,,,,"""Thou, God, seest me""",,,,,Hagar runs away,,,The slave and her son,,,,,,,
Genesis 18:1-16,Birth of Isaac foretold,,,,,The destruction of Sodom and Gomorrah is revealed to Abraham,,,,,,,,,Abraham and the three men,,Abraham and the Lord,,Abraham's heavenly visitors,,,Sarah laughs,,The special visitors // On the way to Sodom,,,Mysterious visitors,,,,,,,
Genesis 18:16-19:29,Sodom and Gomorrah,The Destruction of Sodom and Gomorrah,Going out of Sodom,,Lot fleeing from Sodom,Sodom and Gomorrah are destroyed,The Destruction of Sodom,,Destruction Of Sodom,,,Sodom destroyed,,,,Sodom and Gomorrah,,,The rain of fire,,,,,Lot's rescue,,,,,,The Visitors,The Rain of Fire That Fell on a City,,Sodom and Gomorrah,
Genesis 21:1-8,Isaac's birth,,Abraham and Isaac,,,The birth of Isaac,,Isaac,,The Birth Of Isaac,,,,,,,,,,,Isaac is born,,When Isaac is born,Isaac is born,,Abraham and Isaac,,,,,,Son of laughter,"""",
Genesis 21:10-21,Abraham sends away Ishmael,,,Hagar and Ishmael,,,,Ishmael,,,,,,God's Care for the Boy Ishmael,,Abraham sends Ishmael away,,,A little boy in the desert,,,,,Sent packing,,,The two sons,,,,The Boy Who Became an Archer,,Abram's Two Sons,
Genesis 22:1-19,Sacrifice of Isaac,,,,,The offering up of Isaac,"Abraham, the Servant of God",,Abraham's Sacrifice,,,Abraham's faith tried,,,Abraham and Isaac,God tests Abraham,,,Abraham obeys God,,,,,Put to the test,,,God tests Abraham,,,,How an Angel’s Voice Saved a Boy’s Life,The present,The Sacrifice of Isaac,
Genesis 23,Death and Burial of Sarah,,,,,,,,The Death And Burial Of Sarah,,,,,,,,,,,,,,,,,,,,,,,,,
Genesis 24,Marriage of Isaac,,Eliezer and Rebecca // Isaac and Rebecca,Rebekah at the Well,,The marriage of Isaac,Isaac and Rebekah,,How Rebekah Became Isaac's Wife,Rebecca At The Well // The Marriage Of Rebecca,Rebekah at the Well,Isaac,,,,Rebekah,The Servant at Rebecca's House // Isaac and Rebecca,,Abraham finds a wife for Isaac,A wife for Isaac,,,,A wife for Isaac // Rebekah is found,,,In search of a wife // The quest is accomplished // A wife for Isaac,,,A Bride for Isaac,The Story of a Journey after a Wife,,Isaac and Rebekah,A bride for Isaac
Genesis 25:19-26,Birth of Jacob and Esau,Jacob and Esau,,Jacob and Esau,,Jacob and Esau,"The Two Brothers, Esau and Jacob",Esau and Jacob,Jacob And Esau,Jacob And Esau,,,,,,,,"Isaac, Esau, and Jacob",,,Jacob and Esau are born,,Esau and Jacob are born,,,Isaac and his twin sons,Twin brothers ,,,,,,Esau and Jacob,Jacob and Esau
Genesis 25:27-34,Esau sells his birthright to Jacob,,,,,,,,,,,,,,,Jacob buys the birthright,,,Esau sells his birthright,,Esau sells his birthright,,Esau sells his birthright,Jacob's bargain,,,,,,,How Jacob Stole His Brother's Blessing,,,
Genesis 26,Isaac in the land of the Philistines,,,,,,,,,Isaac And The Wells,,,,,,,,,,,Isaac will not fight,,Isaac does not fight,,,,,,,,,,,
Genesis 27:1-40,Deception of Isaac for Jacob's blessing,,,Isaac blessing Jacob,,The blessing of Jacob and Esau,Jacob's Deception and Punishment,,,Jacob's Deception,,,,How Jacob Deceived His Father,Isaac blesses Jacob,Jacob deceives his father,,,Jacob gets the birthright,,Jacob tricks his father,,Jacob deceives his father,Jacob's trick,,,Isaac is tricked // Esau's anger,,,Isaac's Blessing,,,,
Genesis 28:10-22,Jacob's ladder,,,,,"Jacob goes on his way, the vision of Jacob's ladder",,,,Jacob's Dream,Jacob and the Angels,Jacob's vision,,,Jacob's dream,Jacob leaves home,Jacob Leaves,,Jacob's dream,,Jacob's dream,A stairway to heaven,Jacob has a special dream,,,Jacob's dream,Jacob's dream,,,Jacob's Dream,Jacob’s Wonderful Dream,,Jacob's Ladder,
Genesis 29-30,"Jacob, Rachel, and Leah",,,,,Jacob and Laban,,,Jacob And Rachel,Jacob And Rachel,,,,,,Jacob meets Rachel,The Wedding,,Jacob is fooled by his uncle,,Jacob meets Rachel,,Jacob meets Rachel,The trickster tricked,,Jacob and the trickster,Double crossed!,,,,,The girl no one wanted,Jacob and Rachel,
Genesis 31,Jacob flees Laban,,,,,"Laban's anger against Jacob, he is reconciled to him",Jacob and Laban,,Jacob And Laban,Jacob At The Home Of Laban,,,,,,Jacob leaves Haran secretly,Jacob is Followed,,Jacob runs away,,,,,,,,A journey into fear,,,,,,Jacob's Wedding,
Genesis 32:24-32,Jacob wrestles with the angel,,,,,"Jacob's vision, he prepares to meet Esau // Jacob wrestles with the angel",,,,,,,,,,Jacob goes home,,,Jacob wrestles with God,,,,,The strange wrestling-match,,,The wrestling match,,,,A Midnight Wrestling Match,,Jacob's Return,Jacob and the Stranger
Genesis 33,Jacob and Esau reunite,,,,,The meeting of Jacob and Esau,,,Meeting Of Jacob And Esau,The Meeting Of Jacob And Esau,,Esau and Jacob,,,,,,,,,,,,Esau's return // Jacob meets Esau again,,Jacob and Esau,,,,Jacob and Esau Meet Again,,,,
"Genesis 34, 35 and 37",Israel's trouble in the land,,,,,God appears to Jacob,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genesis 35,"Burials of Deborah, Rachel and Isaac",,,,,,,,The Birth Of Benjamin,,,,,,,,,,Jacob keeps his promise,,,,,,,,,,,,,,,
Genesis 37,"Joseph's coat, dreams, and sold by his brothers for twenty pieces of silver",Joseph hated by his Brethren,Joseph sold,,Joseph cast into the pit // Joseph sold to the Ishmaelites,The story of Joseph and his brethren,Joseph and his Brethren,Joseph,Joseph And His Brethren,Joseph Sold By His Brothers,Joseph the Dreamer,Joseph's dreams // Joseph sold by his brothers,,Joseph Sold as a Slave by His Brothers,Joseph sold into Egypt,How Joseph was sold,Joseph and his Brothers,The coat of many colours,"Joseph, the dreamer // Joseph sold by his brothers",Joseph and his brothers,Joseph's brother sell him ,,Joseph's brother sell him ,Trouble at home // Dreams! // Into the pit! // On the road to Egypt,,Joseph is sold // Joseph the slave,The jealous brothers // Revenge!,,,Joseph's Colorful Robe,The Rich Man’s Son Who Was Sold As a Slave,The forgiving prince,Joseph's Dreams,Joseph and his dreams
Genesis 39:1-20,Joseph and Potiphar,What happened to Joseph in Egypt,,,,,Joseph in Egypt,,,Joseph In Egypt,Joseph Sold by His Brothers,,,,,In Potiphar's house,Joseph in Egypt,Joseph in Egypt,,,,,,Slave in charge,,,Joseph the slave // Potiphar's wife,,,,,,Joseph the Slave,
Genesis 39:20-23,Joseph in prison,"""",,Pharaoh's Dream,,,Pharaoh's Dreams,,,,,Joseph explains dreams,,,Pharaoh's dream,From prison to palace,The Pharaoh's Dream,,Joseph goes to prison // The butler and the baker,,,,,Thrown into prison! // The meaning of dreams // The prisoner and the king,,,The dream-teller,,,Pharaoh's Dreams,From the Prison to the Palace,,Pharaoh's Dreams,
Genesis 41:40-57,Joseph rules in Egypt,"""",,,,,The Years of Famine,,Joseph Before Pharaoh,Joseph As Prime Minister,Joseph the Ruler,,,,,"""",The Seven Years of Plenty Pass,,A dream comes true,,God helps Joseph,,God helps Joseph,The new prime minister,,Joseph and the Pharaoh,Pharaoh's nightmares // Set free!,,,,How Joseph’s Dream Came True,,Joseph the Governor,
Genesis 42,Joseph's brothers visit,Joseph's Conduct to his Father and his Brethren,,,,,The Second Journey into Egypt,,The Famine,,,Joseph and his brothers,,The Testing of Joseph's Brothers,,Joseph's dreams come true,Joseph's Brothers Go to Egypt,,Joseph's brothers come to Egypt,,,,,Food in Egypt,,Joseph meets his brothers,Surprise visitors,,,Joseph Saves His Family,,,,
Genesis 43,Benjamin visits Joseph,,,,,,Joseph's Kindness to his Brethren,,Benjamin Brought To Joseph,Joseph Making Himself Known To His Brothers,,,,,Joseph tricks his brothers,Benjamin goes to Egypt,Jacob Sends Benjamin,,Two brothers meet,,,,,Benjamin's Journey,,Joseph and Benjamin,,,,"""",A Lost Brother Found,,,
Genesis 44,The silver cup,,Joseph made known,,,,,,,,,,,,,Joseph's silver cup,The Silver Drinking Cup // Judah Pleads for Benjamin,,,,,,,The missing cup,,,The silver cup,,,"""",,,The Silver Cup,
Genesis 46,Joseph visits Jacob,,Joseph and Jacob,,Meeting of Joseph with his father,,Jacob's Journey into Egypt,,Israel Goes Down Into Egypt,Joseph's Kindness To His Father,Joseph Forgiving His Brothers,,,,,Jacob goes to Egypt,Jacob Goes to Egypt,,Jacob meets his son Joseph,,Joseph's secret,,Joseph has a secret,Family reunion,,,A happy reunion,,,,From the Land of Famine to the Land of Plenty,,,
Genesis 49,Israel blesses his twelve sons,,,,,Jacob blesses his sons // Burial of Jacob // Joseph's kindness to his brethren: his death,The End of Jacob and Joseph,,The Death Of Jacob // The Burial Of Jacob,,,,,Joseph's Loyalty to His Family,,The death of Jacob,Jacob's Prophecy,,,,,,,,,,,God's People Grow,,,,,,
Exodus 2:1-10,Moses' birth and being found by Pharaoh's daughter,"Moses, in the Bulrushes",Moses,Moses in the Bulrushes,Moses in the bulrushes,Affliction of the children of Israel // Birth of Moses,The Israelites in Egypt,Miriam // Moses,The Finding Of Moses,The Birth Of Moses // Moses And Pharaoh's Daughter,The Baby Boy Moses,Moses: the baby in the basket,,,The childhood of Moses,Moses,Pharaoh's Daughter Finds Moses,The baby in the bulrushes,The baby Moses,,Hebrew slaves // Baby Moses,A baby in a basket,Hebrew slaves work in Egypt // God takes care of baby Moses,Trouble in Egypt // The baby who survived // The prince of Egypt,Baby to the rescue,The baby Moses,The baby in the bulrushes,,The story of Moses,A Baby in a Basket,The Beautiful Baby Who Was Found in a River,,Moses in the Bulrushes,Moses in the bulrushes
Exodus 2:11-25,"Moses kills an Egyptian, goes to Midian and gets a wife",,,,,,,,,Moses In Pharaoh's Palace,,,,,,"""",,,Moses runs away,,,,,Moses helps the shepherd girls,Training a prince,Moses and his people,Murder!,,,,,,,
Exodus 3:1-4:17,Burning bush,,,,,God appears to Moses,,,The Burning Bush,Moses And The Burning Bush,,Moses and the burning bush,,The Voice from the Bush,Moses and the burning bush,God chooses Moses,God Speaks to Moses,The burning bush,The burning bush,Moses hears Gods call,A bush keeps burning,,A bush keeps burning,God calls Moses,,Moses and the burning bush,The burning bush,God's People Become Great,,The Burning Bush,The Voice from the Burning Bush,God to the rescue!,Moses is Called by God,Moses and the burning bush
Exodus 7:8-13,Aaron's staff becomes a snake,,,,,Moses and Aaron go before Pharaoh // God renews his promise to Moses,Moses' Mission to Pharaoh,,The Israelites In Bondage,Moses And Aaron Before Pharaoh,Moses the Leader,,,,,,Moses Goes Back to Egypt // God Renews His Promise // The Magic Rods,,,,,,,The king says 'no',,Moses goes to the Pharaoh,Moses and Pharaoh,,,,,,Moses Warns Pharaoh,
Exodus 7:14-10:29,Egypt's nine plagues,,,,,The ten plagues of Egypt // The first plague // The second plague // The third plague // The forth plague // The fifth plague // The sixth plague // The seventh plague // The eighth plague // The ninth plague,,,"The Plagues Of Blood And Frogs // The Plague Of Lice, Flies, Murrain, And Boils // The Plague Of Hail // The Plagues Of Locusts And Darkness",The Ten Plagues,,The ten plagues upon Egypt,,,The plague of frogs // The plague of hail,A stubborn king,The Plague Upon the River // The Plague of the Lice // The Plague of the Cattle // The Plague of Hail and Fire // The Plague of Darkness,The plagues of Egypt,"Water turned to blood // ""Let my people go!""",,Ten bad things,,Ten terrible troubles,"Frogs, flies, and hail",,The stubborn Pharaoh,The ten plagues,"""",,Ten Plagues,The River That Ran Blood,"""",The Plagues of Egypt,
Exodus 11,Tenth plague against Egypt threatened,,,,,The tenth plague,,,,"""",,,,,,The children of Israel leave Egypt,,,,,"""",,"""",The last punishment,,,"""",God's Great Sign,,"""",,"""",,
Exodus 12:1-20,The Passover instituted,,,,,The institution of the Passover,,,,"""",,,,God's Protection of Those Who Trust in Him,The first Passover,"""",The Time of the Passover,,,,"""",,"""",The passover,,,,"""",,,,"""",,
Exodus 12:21-28,The Passover communicated,,,,,,,,,"""",,,,,,"""","""",,,,"""",,"""","""",,,The passover,"""",,,,"""",,
Exodus 12:29-30,Tenth plague against Egypt inflicted,,,,,,,,The Tenth Plague: The First-born Of Egypt Slain—The Passover,"""",,,,,,"""","""",The Passover,"""Saved by the blood""",,"""",,"""","""",,The Passover,,"""",,"""",,"""",The Tenth Plague,The Passover
Exodus 12:31-51,The Exodus,,,,,Departure of the Israelites out of Egypt,The Israelites go forth from Egypt,,The Israelites Go Up Out Of Egypt,The Departure From Egypt,,,,,,"""",,,,,Moses leads his people // Cloud and fire // Walking through a sea,,Moses leads his people,"Goodbye! // God leads the way // 'Slaves, come back!'",,,Freedom!,,"""",,The Night When a Nation Was Born,"""",,
Exodus 14,Crossing the Red Sea,Destruction of Pharaoh and his Host,,,,The passage of the Red Sea,Pharaoh and his Hosts destroyed,,The Overwhelming Of The Egyptians,Crossing The Red Sea,The Red Sea,Crossing the Red Sea,,,Crossing the Red Sea,The End of the Egyptians,Moses Crosses the Red Sea,The crossing of the Red Sea,Through the Red Sea,,Walking through a sea,,God leads Moses and his people // A path through a Sea,Crossing the Red Sea,,Crossing the Red Sea,A miraculous crossing,,"""",The Red Sea,How the Sea Became Dry Land and the Sky Rained Bread,God makes a way,The Crossing of the Red Sea,The parting of the Red Sea
Exodus 16,Manna,,Gathering manna,,,The song of Moses // The giving of manna and quails,The Israelites in the Wilderness,,The Song Of Moses // The Israelites Fed With Manna,Thirst In The Wilderness // Food In The Wilderness,,Moses in the desert: God feeds the hungry,,God's Loving Care,The manna and the quails,Israel in the wilderness,The Bitter and the Sweet Waters,,Water and food for tired travelers // Water from a rock,Manna in the desert,God gives good food,,God sends special food,"Food in the desert // Water in the desert // 'Hands up, Moses!' // Sharing out the work",,,Food from heaven,,,Food from Heaven,"""",,God Watches Over the Israelites,
Exodus 19,Amalek Attacks,,,,,Jethro's counsel,,,,,,,,,The battle with the Amalekites,,The War with Amalek,,Moses prays for victory,,,,,,,,Fire and thunder!,,,,,,,
Exodus 20:1-17,The Ten Commandments,The Ten Commandments given,,The Tables of Stone,,Mount Sinai // The giving of the Ten Commandments,,,The Law Given From Mount Sinai // Moses Called Up Into The Mount // The Tabernacle And The Priesthood,Moses Receiving The Ten Commandments,,God gives the Ten Commandments,,What God likes and dislikes // Our Duties to God and Man,The Ten Commandments,God talks from Mt. Sinai,The Ten Commandments //  The Sabbath,The Ten Commandments,The Ten Commandments,,God gives good rules,,God's Ten Commandments,God's mountain // The Ten Commandments - loving God // The Ten Commandments - loving others,,The great Commandments,The Ten Commandments,,,Ten Commandments,The Mountain That Smoked and the Words That Were Spoken from It,Ten ways to be perfect,Moses Receives God's Laws,The Ten Commandments
Exodus 32,The golden calf,The Golden Calf,,The Israelites' Burdens,,The golden calf,The People at Sinai,,The People Worship The Golden Calf,,,,,,The golden calf,The golden calf,The Angel of God // The Golden Calf // The End of the Golden Calf // A Renewed Promise,,The golden calf,,The golden calf,,The golden calf,The calf made of gold,,,The golden calf // God's agreement,,,,How Aaron Made a Golden Calf and What Became of It,,The Golden Calf,
Exodus 34,The second set of Commandments,,,,,,,,The Second Set Of Tables,The Ten Commandments,,,,,The Ark of the Covenant,,,,Moses' shining face,,,,,,,,,,,,,,,
Exodus 36,Making the tabernacle,The Tabernacle and its Furniture,,,,God's covenant with the Israelites,Further Events in the Wilderness,,The Setting Up Of The Tabernacle,The Tabernacle,,,,A Call to Praise God,,The tabernacle,,,God's house and the first priest,Gods special tent,Giving to God // God's tent house,,Giving for God's House // God's beautiful House,God's special tent,,,A place for worship,,,,The Tent Where God Lived Among His People // How They Worshipped God in the Tabernacle,,,The Ark of the Covenant
Leviticus,,,,,,Exhortations and commands of Moses: the rehearsal of God's dealings with Israel in the wilderness // Exhortations to obedience // The prophecy of another prophet // Laws about servants and strangers: the sins of fathers are not to be visited on the children // The confession of him that offereth the first fruits // The blessings for obedience and the curses for disobedience // Moses encourages the people // The public reading of the law enjoined,,,The Day Of Atonement //The People Are Commanded To Be Holy // The Feasts Of The Lord,,,,,,,,,,,,,,,,,Obedience and disobedience,,,,,,,,
Leviticus 10:1-11,Punishment for offering strange fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,What Strong Drink Brought to Aaron’s Sons,,,
Leviticus 13:35-53,Laws of an unclean house,,,,,The law concerning the impure house,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leviticus 14:1-32,Laws of the leper,,,,,Sundry laws of the Israelites: the law of the leper,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leviticus 16:8-10, 21-26",Scapegoat,,,,,The scapegoat,,,,,,,,,,,,,,,,,,,,,,,,,The Scapegoat in the Wilderness,,,
Leviticus 17,Laws for sacrifices,,,,,Other laws of the Israelites,"""",,,,,,,,,How Israel worshiped,,,,,,,,God cares // The agreement // Putting things right,,,,,,,,,,
Leviticus 23:1-22,Laws for feasts,,,,,"""","""",,,,,,,,,Israel's feasts,,,The story of the feasts,,,,,,,,,,,,,,,
Leviticus 24,Stoning of man who blasphemed the name of the LORD,,,,,,,,,,,,,,,,,,God punishes swearing,,,,,,,,,,,,,,,
Leviticus 25,The year of jubilee,,,,,The year of release,"""",,The Seventh Year And The Year Of Jubilee,,,,,,,The year of jubilee,The Law of Inheritance,,,,,,,,,,,,,,,,,
Numbers 1:1-46,Numbering the Israelites,,,,,,,,The Numbering Of The People,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers 7,Offerings of the Israelite princes,,,,,,,,The Offerings Of The Princes—The Children Of Israel Journey,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers 10,The Israelites leave Sinai,,,,,,"""",,,,,,,,,The Israelites continue their journey,,,God's people leave the mountain,,,,,The Promised Land in sight,,,,,,,,,,
Numbers 11-12,"Taberah, quail",,,,,,"""",,The People Murmur // Miriam's Leprosy,,,,,,,The grumbling Israelites,,,Miriam becomes a leper,,God gives meat to eat,,God gives meat to eat,,,,,,,,,,,
Numbers 13:1-14:45,Spies sent to Canaan,,,,,The sending of the spies,"""",,The Spies Sent Out,The Report Of The Spies,,,,,The Hebrew scouts in Canaan,Spies search out the land,The Twelve Spies // Joshua and Caleb Speak,,The twelve spies,,God promises a new home,,God promises a special land,,,,Joshua and Caleb,Going into God's Place,,Twelve Spies // Joshua and the Spies,The Cluster of Grapes from the Land of Canaan,,,The Promised Land
Numbers 16,Korah's rebellion,,,,,The congregation murmurs,"""",,"The Israelites Rebel, And Are Turned Back To Wander In The Wilderness // The Rebellion Of Korah",,,,,,The rebellion of Korah,Three miracles,,,The earth swallows the wicked men,,,,,,,,,,,,,,,
Numbers 17,Aaron's staff buds,,,,,,"""",,Aaron's Rod,,,,,,Aaron's rod,"""",,,Aaron's wonderful rod,,,,,,,,,,,,,,,
Numbers 20:1-13,Waters of Meribah,,,Moses smites the Rock,Moses striking the rock,Moses brings water out of the rock,"""",,Moses Brings Water From The Rock—Moses And His Father In Law,Water From The Rock // Moses Striking The Rock,,,,,Moses strikes the rock,"""",The Water and the Rock,,Moses disobeys God,,,,,Moses loses his temper,,,,,,,,,,
Numbers 20:22-29,Aaron's death,,,,,,"""",,,,,,,,,The death of Aaron,,,,,,,,,,,,,,,How the Long Journey of the Israelites Came to an End,,,
Numbers 21:4-8,The bronze snake,,The brazen serpent,The Brazen Serpent,,,"""",,The Brazen Serpent,,,,,,The bronze serpent,The brass snake,,,God sends fiery serpents,,,,,The bronze snake,,,,,,,,,,
